year,Africa,Americas,Asia,Europe,Oceania
1995,0.8146315710109693,0.8154340527719433,0.7615010942085072,0.7237337783559556,0.727932562775578
1996,0.8137641520441483,0.8171261025808201,0.7629183509799075,0.7237603568409732,0.727845399049116
1997,0.8119895033289937,0.8173783889257217,0.7654964296983514,0.7254719865467893,0.727707651738115
1998,0.8108511697684865,0.8161839290618079,0.7654193405328451,0.7267577756977006,0.7276410830919771
1999,0.8095319932019014,0.8168505070737709,0.7634579388706506,0.7265760536934399,0.7271230404428574
2000,0.8095069388144174,0.8154686592337543,0.7633611373151648,0.7261427128419321,0.7262911474539303
2001,0.8091031360124671,0.8124694404751318,0.7637246002245255,0.7261685564867266,0.7263878337466854
2002,0.8062819573530393,0.8116081709375758,0.7634339827237384,0.7276105144941799,0.7268476995601197
2003,0.8037079216062865,0.8186213909634655,0.7639161767985102,0.7271646138166353,0.7278297294776856
2004,0.8024693421455225,0.8123385292329611,0.7637753709045356,0.7267392023392965,0.728526888429504
2005,0.8026163434441769,0.8062111386416976,0.7638474393679325,0.7272723372507366,0.7283971734094004
2006,0.8022170456921287,0.8227414154217892,0.7638881488763098,0.727387757769656,0.7282204594141793
2007,0.8030029046849265,0.8254386913340122,0.7662860247898344,0.7301799164893653,0.7280785132520387
2008,0.80384912377674,0.8182168529249553,0.7676376850450627,0.7285231718421938,0.727828699764525
2009,0.8032796246718975,0.8114099299498985,0.7651248631453759,0.7286952043466782,0.7276005519092951
2010,0.8024976791683842,0.8010719939696093,0.7690256373354941,0.7309004856284953,0.7272914750366514
2011,0.8001464481135165,0.8071627385472461,0.7701708777855447,0.7332434738768356,0.7276142217948377
2012,0.7983607728404617,0.7921361296987536,0.7704047376047606,0.7352835031463413,0.728949162372127
2013,0.7979360203797836,0.8041550964475226,0.7695465684886822,0.7381291298807265,0.728236890667617
2014,0.7976940615046167,0.7925657842605549,0.7699868390089087,0.7411830442717755,0.7279626969331333
2015,0.7972732063283724,0.7915944519267477,0.7692042012513808,0.740269664021232,0.727462626290863
2016,0.7973256950311688,0.7882148069334891,0.7692137782836934,0.7403924045394512,0.7269680883714212
2017,0.7977690733769269,0.7807250853472628,0.7700253458573423,0.7406895218844978,0.7281502965524423
2018,0.7978694995423217,0.7787625893750884,0.7704861226192731,0.7393713342761883,0.728581858602008
2019,0.7977582729490226,0.7785039861089678,0.7699266778460373,0.7416592662433006,0.7284281697384357
2020,0.7976375381430216,0.7780722557085937,0.7693435039807555,0.7413315249846621,0.728006677498617
2021,0.7976892676951541,0.7791976628414398,0.7702605984805805,0.7420581464550116,0.7288097655685607
2022,0.8006497786638885,0.7766364485519974,0.7694910594336546,0.7422295098029177,0.729299837050694