year,country,p0p50,p90p100,p99p100
1996,AL,0.2011,0.2997,0.0679
1997,AL,0.198,0.3053,0.0711
1998,AL,0.1954,0.3086,0.0727
1999,AL,0.1935,0.3105,0.0739
2000,AL,0.1938,0.3083,0.0716
2001,AL,0.1936,0.309,0.0709
2002,AL,0.1919,0.3113,0.0724
2003,AL,0.1933,0.3111,0.0729
2004,AL,0.1959,0.3077,0.0717
2005,AL,0.1971,0.3063,0.0712
2006,AL,0.1966,0.3046,0.0705
2007,AL,0.1977,0.3012,0.0698
2008,AL,0.1977,0.3053,0.0729
2009,AL,0.1997,0.3036,0.0722
2010,AL,0.2003,0.3046,0.0724
2011,AL,0.2001,0.3077,0.0736
2012,AL,0.2,0.3091,0.0746
2013,AL,0.1967,0.3163,0.0768
2014,AL,0.1908,0.3232,0.078
2015,AL,0.1969,0.3179,0.0769
2016,AL,0.1892,0.3198,0.0751
2017,AL,0.1943,0.3157,0.0739
2018,AL,0.1988,0.3106,0.0721
2019,AL,0.2008,0.3139,0.0764
2020,AL,0.2007,0.3133,0.0757
2021,AL,0.2007,0.3135,0.0759
1980,AT,0.3014,0.2772,0.0961
1981,AT,0.3003,0.2784,0.0965
1982,AT,0.2992,0.2794,0.096
1983,AT,0.2994,0.2792,0.0961
1984,AT,0.297,0.2846,0.1
1985,AT,0.2964,0.2817,0.0985
1986,AT,0.294,0.2839,0.0995
1987,AT,0.3113,0.2734,0.0917
1988,AT,0.308,0.2777,0.0942
1989,AT,0.2993,0.2817,0.0958
1990,AT,0.3046,0.2727,0.0904
1991,AT,0.2964,0.2895,0.1033
1992,AT,0.3018,0.2788,0.0974
1993,AT,0.2963,0.2934,0.1078
1994,AT,0.2939,0.2866,0.1022
1995,AT,0.2914,0.2804,0.097
1996,AT,0.2933,0.2796,0.0957
1997,AT,0.2987,0.2765,0.0929
1998,AT,0.2955,0.2869,0.1015
1999,AT,0.2984,0.2788,0.0942
2000,AT,0.2959,0.2908,0.1046
2001,AT,0.3031,0.277,0.0943
2002,AT,0.2945,0.2926,0.1039
2003,AT,0.2819,0.3109,0.1149
2004,AT,0.2948,0.2902,0.1051
2005,AT,0.2842,0.3062,0.1023
2006,AT,0.2733,0.3281,0.1241
2007,AT,0.28,0.3061,0.1018
2008,AT,0.284,0.3079,0.1125
2009,AT,0.288,0.2898,0.0955
2010,AT,0.2868,0.2969,0.1036
2011,AT,0.2904,0.2899,0.1008
2012,AT,0.2979,0.2704,0.0713
2013,AT,0.3017,0.2712,0.0792
2014,AT,0.2963,0.2887,0.1011
2015,AT,0.3034,0.2736,0.0878
2016,AT,0.2934,0.2905,0.1016
2017,AT,0.3017,0.2821,0.0917
2018,AT,0.2938,0.2894,0.0963
2019,AT,0.3023,0.2753,0.0839
2020,AT,0.2913,0.3001,0.1036
2021,AT,0.2923,0.2978,0.1018
1980,BA,0.2769,0.2492,0.0647
1981,BA,0.2769,0.2492,0.0647
1982,BA,0.2769,0.2492,0.0647
1983,BA,0.2769,0.2491,0.0647
1984,BA,0.2716,0.2565,0.0688
1985,BA,0.273,0.2522,0.066
1986,BA,0.2694,0.2465,0.0591
1987,BA,0.269,0.2547,0.0657
1988,BA,0.2553,0.2666,0.0702
1989,BA,0.2741,0.2433,0.0588
1990,BA,0.2766,0.2416,0.0587
1991,BA,0.2697,0.2483,0.0607
1992,BA,0.2623,0.256,0.0637
1993,BA,0.2547,0.2642,0.0672
1994,BA,0.2472,0.2725,0.0713
1995,BA,0.2394,0.2816,0.0759
1996,BA,0.2327,0.2864,0.0768
1997,BA,0.2257,0.2918,0.0781
1998,BA,0.2184,0.2995,0.0818
1999,BA,0.2122,0.3015,0.0796
2000,BA,0.2058,0.3058,0.08
2001,BA,0.1984,0.3127,0.0827
2002,BA,0.2016,0.3136,0.0775
2003,BA,0.198,0.318,0.0776
2004,BA,0.1998,0.318,0.0729
2005,BA,0.2008,0.316,0.0725
2006,BA,0.201,0.3137,0.0702
2007,BA,0.2004,0.3148,0.0707
2008,BA,0.2016,0.3156,0.0717
2009,BA,0.2023,0.3155,0.0718
2010,BA,0.2023,0.3164,0.0737
2011,BA,0.2026,0.3185,0.0769
2012,BA,0.203,0.3177,0.0773
2013,BA,0.2021,0.3188,0.0786
2014,BA,0.2024,0.3182,0.0787
2015,BA,0.2041,0.3183,0.0787
2016,BA,0.2049,0.3171,0.0779
2017,BA,0.2045,0.3189,0.0798
2018,BA,0.2047,0.3173,0.078
2019,BA,0.2054,0.3149,0.0758
2020,BA,0.2053,0.3143,0.075
2021,BA,0.2053,0.3146,0.0753
1980,BE,0.2544,0.2723,0.0583
1981,BE,0.2578,0.2689,0.0564
1982,BE,0.2659,0.2637,0.0577
1983,BE,0.2627,0.2561,0.0497
1984,BE,0.2639,0.2524,0.0474
1985,BE,0.2637,0.2554,0.0525
1986,BE,0.2579,0.26,0.0527
1987,BE,0.2552,0.2715,0.0583
1988,BE,0.2523,0.2751,0.0632
1989,BE,0.2393,0.2864,0.0652
1990,BE,0.247,0.2702,0.0617
1991,BE,0.2521,0.2627,0.0556
1992,BE,0.2478,0.2663,0.0576
1993,BE,0.2468,0.2645,0.0555
1994,BE,0.2451,0.2706,0.0577
1995,BE,0.249,0.2685,0.056
1996,BE,0.2468,0.27,0.0565
1997,BE,0.2498,0.2739,0.0612
1998,BE,0.2408,0.2797,0.0593
1999,BE,0.242,0.2754,0.0574
2000,BE,0.237,0.2771,0.0578
2001,BE,0.2436,0.2717,0.0572
2002,BE,0.2414,0.2764,0.0595
2003,BE,0.2412,0.2679,0.0544
2004,BE,0.2416,0.2809,0.0639
2005,BE,0.2436,0.2806,0.0646
2006,BE,0.2434,0.2861,0.0678
2007,BE,0.2423,0.2973,0.0758
2008,BE,0.2566,0.2749,0.0627
2009,BE,0.2453,0.2835,0.0656
2010,BE,0.2482,0.2711,0.0586
2011,BE,0.2507,0.2728,0.0606
2012,BE,0.2518,0.2719,0.0593
2013,BE,0.2514,0.2701,0.0575
2014,BE,0.2526,0.2725,0.0597
2015,BE,0.2462,0.2773,0.062
2016,BE,0.2475,0.2779,0.0625
2017,BE,0.2488,0.2727,0.0599
2018,BE,0.258,0.2677,0.0584
2019,BE,0.2557,0.2713,0.0604
2020,BE,0.2568,0.2694,0.0592
2021,BE,0.2568,0.2695,0.0594
1980,BG,0.3056,0.2009,0.0313
1981,BG,0.3102,0.2031,0.0329
1982,BG,0.2988,0.2299,0.0497
1983,BG,0.3025,0.2297,0.0496
1984,BG,0.3059,0.2229,0.0469
1985,BG,0.3121,0.209,0.0385
1986,BG,0.3266,0.1931,0.0307
1987,BG,0.3308,0.1706,0.0209
1988,BG,0.3219,0.1673,0.0201
1989,BG,0.3167,0.2124,0.0411
1990,BG,0.3005,0.2359,0.0502
1991,BG,0.2727,0.2673,0.0681
1992,BG,0.2544,0.2944,0.0825
1993,BG,0.2354,0.3112,0.0893
1994,BG,0.2176,0.3537,0.1184
1995,BG,0.2109,0.369,0.1305
1996,BG,0.2244,0.346,0.1161
1997,BG,0.2263,0.3356,0.1072
1998,BG,0.2342,0.3184,0.0964
1999,BG,0.2397,0.3096,0.093
2000,BG,0.2362,0.3042,0.0861
2001,BG,0.2272,0.3218,0.1009
2002,BG,0.2115,0.3466,0.1143
2003,BG,0.2192,0.3271,0.101
2004,BG,0.2193,0.328,0.1019
2005,BG,0.2115,0.334,0.1056
2006,BG,0.1991,0.3332,0.0995
2007,BG,0.2116,0.3108,0.076
2008,BG,0.218,0.3081,0.073
2009,BG,0.2191,0.3279,0.1019
2010,BG,0.2154,0.3301,0.1039
2011,BG,0.2152,0.3345,0.1112
2012,BG,0.204,0.3567,0.1234
2013,BG,0.2165,0.3398,0.1116
2014,BG,0.207,0.357,0.1211
2015,BG,0.2042,0.3622,0.1281
2016,BG,0.1908,0.4012,0.1627
2017,BG,0.19,0.4127,0.1762
2018,BG,0.1902,0.4187,0.1794
2019,BG,0.198,0.393,0.151
2020,BG,0.1977,0.3936,0.1516
2021,BG,0.1978,0.3936,0.1515
1980,CH,0.2561,0.2899,0.0873
1981,CH,0.2559,0.2899,0.0873
1982,CH,0.2562,0.291,0.0886
1983,CH,0.2548,0.2926,0.0975
1984,CH,0.2541,0.293,0.096
1985,CH,0.2485,0.3033,0.1037
1986,CH,0.2527,0.2934,0.0967
1987,CH,0.2559,0.2893,0.0944
1988,CH,0.253,0.2892,0.0948
1989,CH,0.2574,0.2855,0.0935
1990,CH,0.2514,0.286,0.0922
1991,CH,0.2498,0.296,0.0854
1992,CH,0.2531,0.2851,0.0865
1993,CH,0.253,0.2814,0.087
1994,CH,0.2561,0.2821,0.0903
1995,CH,0.2595,0.2805,0.0893
1996,CH,0.2546,0.292,0.0938
1997,CH,0.2518,0.2978,0.0991
1998,CH,0.2464,0.3066,0.099
1999,CH,0.2494,0.2964,0.0974
2000,CH,0.2493,0.3092,0.1062
2001,CH,0.2521,0.2872,0.0794
2002,CH,0.2586,0.2747,0.0684
2003,CH,0.2534,0.2897,0.0902
2004,CH,0.249,0.2989,0.0902
2005,CH,0.2399,0.3119,0.1076
2006,CH,0.2336,0.3309,0.1199
2007,CH,0.2349,0.3194,0.1067
2008,CH,0.2248,0.3028,0.0909
2009,CH,0.2444,0.2977,0.0933
2010,CH,0.2387,0.3133,0.1039
2011,CH,0.2455,0.3014,0.0907
2012,CH,0.2479,0.303,0.0973
2013,CH,0.2485,0.3015,0.0913
2014,CH,0.2485,0.3004,0.0949
2015,CH,0.2495,0.3006,0.0972
2016,CH,0.246,0.2981,0.0951
2017,CH,0.2448,0.2964,0.0931
2018,CH,0.2427,0.2948,0.0912
2019,CH,0.2418,0.294,0.0899
2020,CH,0.2369,0.2934,0.0879
2021,CH,0.2374,0.2934,0.0881
1990,CY,0.2128,0.3346,0.0999
1991,CY,0.2127,0.3338,0.0993
1992,CY,0.2149,0.3306,0.098
1993,CY,0.2164,0.328,0.0971
1994,CY,0.2163,0.3287,0.0982
1995,CY,0.2162,0.33,0.0996
1996,CY,0.219,0.3196,0.0926
1997,CY,0.221,0.3075,0.0843
1998,CY,0.2052,0.3626,0.1251
1999,CY,0.2277,0.3056,0.0845
2000,CY,0.2367,0.2872,0.0726
2001,CY,0.229,0.2994,0.0809
2002,CY,0.2174,0.3258,0.0982
2003,CY,0.2215,0.3178,0.093
2004,CY,0.2337,0.278,0.0625
2005,CY,0.2203,0.2867,0.0671
2006,CY,0.1853,0.314,0.086
2007,CY,0.0909,0.3353,0.0823
2008,CY,0.2317,0.2974,0.0816
2009,CY,0.2239,0.3052,0.0774
2010,CY,0.2276,0.2932,0.069
2011,CY,0.2077,0.3306,0.0963
2012,CY,0.2061,0.3365,0.104
2013,CY,0.1915,0.372,0.1322
2014,CY,0.2077,0.3295,0.0959
2015,CY,0.2118,0.3231,0.0929
2016,CY,0.2235,0.311,0.085
2017,CY,0.241,0.2967,0.0748
2018,CY,0.2363,0.317,0.0986
2019,CY,0.2533,0.2819,0.0648
2020,CY,0.2527,0.2825,0.0651
2021,CY,0.2527,0.2825,0.0651
1980,CZ,0.3785,0.157,0.0217
1981,CZ,0.3801,0.1575,0.0213
1982,CZ,0.3832,0.1557,0.0211
1983,CZ,0.3831,0.1553,0.0212
1984,CZ,0.3853,0.1542,0.0211
1985,CZ,0.3856,0.1537,0.021
1986,CZ,0.3839,0.1558,0.0223
1987,CZ,0.3839,0.1569,0.0237
1988,CZ,0.3829,0.1585,0.0247
1989,CZ,0.3843,0.1655,0.0295
1990,CZ,0.3772,0.1758,0.037
1991,CZ,0.3765,0.1885,0.046
1992,CZ,0.3546,0.2136,0.0646
1993,CZ,0.3316,0.2456,0.0831
1994,CZ,0.3191,0.2574,0.0938
1995,CZ,0.3204,0.2486,0.0837
1996,CZ,0.3129,0.2613,0.0906
1997,CZ,0.3244,0.2396,0.0757
1998,CZ,0.3163,0.2552,0.0888
1999,CZ,0.3195,0.2499,0.0839
2000,CZ,0.3183,0.2577,0.089
2001,CZ,0.3218,0.2522,0.087
2002,CZ,0.3273,0.2402,0.0772
2003,CZ,0.323,0.2419,0.0786
2004,CZ,0.3212,0.246,0.0803
2005,CZ,0.3248,0.2467,0.0855
2006,CZ,0.3166,0.2498,0.0798
2007,CZ,0.3176,0.2506,0.0862
2008,CZ,0.3067,0.2716,0.1084
2009,CZ,0.3162,0.2485,0.0847
2010,CZ,0.3104,0.2485,0.0788
2011,CZ,0.3224,0.2373,0.0709
2012,CZ,0.3188,0.2412,0.0695
2013,CZ,0.3238,0.2483,0.0808
2014,CZ,0.3144,0.2506,0.0776
2015,CZ,0.3092,0.2622,0.0919
2016,CZ,0.3126,0.2544,0.087
2017,CZ,0.3093,0.2582,0.0896
2018,CZ,0.3119,0.2532,0.0859
2019,CZ,0.3124,0.2521,0.0848
2020,CZ,0.311,0.255,0.0869
2021,CZ,0.3111,0.2547,0.0867
1980,DE,0.2763,0.2536,0.048
1981,DE,0.2765,0.2522,0.0464
1982,DE,0.2786,0.2527,0.052
1983,DE,0.2807,0.2481,0.059
1984,DE,0.2766,0.2596,0.0635
1985,DE,0.2761,0.2496,0.0584
1986,DE,0.2885,0.2498,0.0535
1987,DE,0.2683,0.2596,0.0673
1988,DE,0.2739,0.2759,0.0752
1989,DE,0.262,0.285,0.0794
1990,DE,0.2555,0.2975,0.0857
1991,DE,0.2575,0.2636,0.0662
1992,DE,0.2585,0.2645,0.0668
1993,DE,0.269,0.2353,0.0506
1994,DE,0.2747,0.242,0.0541
1995,DE,0.2695,0.2584,0.0553
1996,DE,0.2799,0.2559,0.0529
1997,DE,0.272,0.2556,0.0544
1998,DE,0.268,0.2574,0.0563
1999,DE,0.2697,0.2656,0.0592
2000,DE,0.2607,0.2724,0.0608
2001,DE,0.2729,0.2684,0.0538
2002,DE,0.2566,0.2748,0.0598
2003,DE,0.2744,0.2491,0.0476
2004,DE,0.4211,0.1794,0.0459
2005,DE,0.2458,0.2889,0.0857
2006,DE,0.242,0.2873,0.0888
2007,DE,0.2339,0.2986,0.0895
2008,DE,0.2344,0.2966,0.0907
2009,DE,0.2418,0.2984,0.0837
2010,DE,0.2327,0.3126,0.0959
2011,DE,0.2329,0.3053,0.0907
2012,DE,0.2291,0.3107,0.0922
2013,DE,0.2143,0.3309,0.1074
2014,DE,0.2153,0.3358,0.1091
2015,DE,0.2175,0.3334,0.1089
2016,DE,0.2201,0.3327,0.1081
2017,DE,0.2194,0.3338,0.1091
2018,DE,0.2206,0.3272,0.1066
2019,DE,0.2157,0.3442,0.1119
2020,DE,0.2176,0.3425,0.1116
2021,DE,0.257,0.2884,0.0786
2022,DE,0.259,0.2826,0.0744
1980,DK,0.302,0.2286,0.0573
1981,DK,0.2936,0.231,0.0566
1982,DK,0.2937,0.2269,0.058
1983,DK,0.2968,0.2415,0.0728
1984,DK,0.2945,0.2458,0.077
1985,DK,0.2868,0.26,0.0873
1986,DK,0.3012,0.2386,0.0721
1987,DK,0.2998,0.2409,0.0743
1988,DK,0.2988,0.2354,0.0693
1989,DK,0.2969,0.2422,0.0753
1990,DK,0.2941,0.2455,0.0742
1991,DK,0.301,0.2434,0.0766
1992,DK,0.2946,0.2454,0.075
1993,DK,0.2983,0.2394,0.072
1994,DK,0.2944,0.2549,0.0847
1995,DK,0.2993,0.2514,0.0827
1996,DK,0.2989,0.2542,0.0849
1997,DK,0.2926,0.2657,0.0934
1998,DK,0.2945,0.2607,0.089
1999,DK,0.2848,0.2802,0.1069
2000,DK,0.2849,0.2788,0.1064
2001,DK,0.2936,0.2611,0.0896
2002,DK,0.2958,0.2524,0.0826
2003,DK,0.3074,0.2426,0.0784
2004,DK,0.2974,0.2539,0.0861
2005,DK,0.292,0.2678,0.0967
2006,DK,0.2924,0.266,0.0964
2007,DK,0.295,0.2621,0.0921
2008,DK,0.2887,0.2638,0.0929
2009,DK,0.2951,0.2566,0.0883
2010,DK,0.2766,0.2855,0.1049
2011,DK,0.2732,0.2885,0.1066
2012,DK,0.2714,0.2885,0.1079
2013,DK,0.2661,0.2981,0.1127
2014,DK,0.2585,0.3135,0.1253
2015,DK,0.2631,0.3036,0.1189
2016,DK,0.2612,0.3038,0.1182
2017,DK,0.2626,0.3016,0.1126
2018,DK,0.2599,0.3035,0.1141
2019,DK,0.2612,0.3005,0.1115
2020,DK,0.2573,0.3096,0.1193
2021,DK,0.2546,0.3157,0.1246
1980,EE,0.3005,0.2002,0.0314
1981,EE,0.3004,0.2002,0.0314
1982,EE,0.3002,0.2002,0.0314
1983,EE,0.3003,0.2002,0.0314
1984,EE,0.3001,0.2002,0.0314
1985,EE,0.2993,0.2004,0.0314
1986,EE,0.2995,0.2004,0.0314
1987,EE,0.2991,0.2004,0.0314
1988,EE,0.2993,0.2004,0.0314
1989,EE,0.2766,0.2335,0.0489
1990,EE,0.2433,0.2765,0.0708
1991,EE,0.2181,0.3156,0.0928
1992,EE,0.1942,0.3375,0.1027
1993,EE,0.1801,0.3639,0.1177
1994,EE,0.1763,0.376,0.1197
1995,EE,0.1737,0.3943,0.1309
1996,EE,0.1797,0.4006,0.1523
1997,EE,0.1765,0.4134,0.1609
1998,EE,0.1866,0.39,0.1482
1999,EE,0.1833,0.3948,0.1547
2000,EE,0.1808,0.3918,0.1421
2001,EE,0.1814,0.3885,0.1446
2002,EE,0.1727,0.4142,0.1704
2003,EE,0.1668,0.3991,0.1595
2004,EE,0.1872,0.3793,0.1493
2005,EE,0.1837,0.4002,0.1651
2006,EE,0.192,0.383,0.1494
2007,EE,0.204,0.3561,0.1348
2008,EE,0.2127,0.3353,0.1093
2009,EE,0.2212,0.2996,0.0744
2010,EE,0.2077,0.318,0.091
2011,EE,0.2016,0.3464,0.1163
2012,EE,0.1989,0.3657,0.1306
2013,EE,0.1966,0.3539,0.1206
2014,EE,0.1933,0.3551,0.1201
2015,EE,0.2084,0.3169,0.0897
2016,EE,0.2141,0.3152,0.0946
2017,EE,0.2178,0.3176,0.1087
2018,EE,0.2236,0.3192,0.1114
2019,EE,0.2227,0.3176,0.103
2020,EE,0.2253,0.3103,0.0957
2021,EE,0.2251,0.311,0.0964
1980,ES,0.1823,0.4182,0.1334
1981,ES,0.183,0.4166,0.1317
1982,ES,0.172,0.4057,0.1319
1983,ES,0.1885,0.3975,0.1298
1984,ES,0.1891,0.399,0.1269
1985,ES,0.1882,0.3842,0.1073
1986,ES,0.1808,0.3864,0.1135
1987,ES,0.1906,0.3856,0.1128
1988,ES,0.1844,0.3943,0.0994
1989,ES,0.1809,0.3861,0.1169
1990,ES,0.1849,0.3778,0.1121
1991,ES,0.1865,0.3765,0.1072
1992,ES,0.1879,0.3756,0.1095
1993,ES,0.1878,0.3787,0.1021
1994,ES,0.1909,0.3854,0.1068
1995,ES,0.1688,0.3947,0.1077
1996,ES,0.1929,0.3861,0.1059
1997,ES,0.193,0.38,0.0927
1998,ES,0.1762,0.3778,0.1051
1999,ES,0.1599,0.4333,0.1191
2000,ES,0.1812,0.3703,0.1071
2001,ES,0.1891,0.3577,0.0933
2002,ES,0.1805,0.3742,0.092
2003,ES,0.1899,0.3595,0.0873
2004,ES,0.1702,0.3693,0.0931
2005,ES,0.223,0.3121,0.0744
2006,ES,0.2334,0.3063,0.0681
2007,ES,0.2214,0.3164,0.0776
2008,ES,0.217,0.3318,0.0929
2009,ES,0.2259,0.3301,0.108
2010,ES,0.2326,0.3145,0.0981
2011,ES,0.2276,0.3142,0.0959
2012,ES,0.232,0.3189,0.1052
2013,ES,0.2232,0.3238,0.1053
2014,ES,0.2216,0.3252,0.1068
2015,ES,0.2215,0.3281,0.1099
2016,ES,0.2198,0.3275,0.1106
2017,ES,0.2223,0.327,0.1111
2018,ES,0.2242,0.3234,0.1091
2019,ES,0.2298,0.315,0.1049
2020,ES,0.2398,0.2897,0.0845
2021,ES,0.2251,0.3014,0.0821
2022,ES,0.2252,0.3012,0.082
1980,FI,0.297,0.2365,0.057
1981,FI,0.2947,0.2276,0.0438
1982,FI,0.2888,0.2314,0.0419
1983,FI,0.2926,0.2193,0.043
1984,FI,0.3102,0.2166,0.0514
1985,FI,0.3013,0.223,0.0459
1986,FI,0.3022,0.2196,0.0426
